District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Ranchi,23.3556,85.3347,3523,13912,92,10297
Rampur,28.7931101,78.9898547,610,4339,34,3695
Ramgarh,23.6351926,85.4784172,1000,2954,15,1939
Ramban,33.25,75.25,209,865,3,653
Ramanathapuram,9.3833,78.8333,270,5233,114,4849
Ramanagara,12.714359,77.2668972,644,4409,39,3726
Rajsamand,25.0586,73.8886,215,1496,18,1263
Rajouri,33.21,74.42,752,1626,18,856
Rajnandgaon,21.1,81.03,2933,5575,32,2610
Rajkot,22.2969,70.7984,2070,6989,116,4803
Rajgarh,21.8949896,83.3600567,172,1058,15,871
Raisen,23.33,77.8,221,998,19,758
Raipur,21.2618911,81.5490328,11972,23621,278,11371
Railway Quarantine,,,2,428,0,426
Raigarh,21.9,83.4,1649,3871,31,2191
Raigad,18.2352353,73.4361793,9987,42813,943,31883
Raichur,16.2,77.37,1540,9628,127,7961
Rae Bareli,26.2338,81.2336,646,2238,58,1534
Purulia,23.3333,86.3667,550,2315,11,1754
Purnia,25.78,87.47,617,5164,9,4538
Puri,19.8,85.8167,2026,6843,28,4789
Purba Medinipur,22.0590715,87.5343463,1164,8796,92,7540
Purba Bardhaman,23.452643,87.7422445,595,3844,31,3218
Pune,18.5236,73.8478,80152,239481,4888,154441
Punch,33.7667,74.1,557,995,6,432
Pulwama,33.88,74.92,490,3274,62,2722
Pudukkottai,10.3833,78.8167,791,7588,122,6675
Puducherry Region,11.93,79.83,3896,17710,349,13465
Prayagraj,25.45,81.85,3716,14926,223,10987
Pratapgarh,24.0317,74.7797,943,3527,45,2539
Prakasam,15.6357161,79.0456822,13655,37865,389,23821
Porbandar,21.6422,69.6093,17,382,4,361
Pithoragarh,29.58,80.22,247,718,4,467
Pilibhit,28.6333,79.7667,322,2947,49,2576
Phek,25.6667,94.5,1,34,0,33
Peren,25.5123707,93.7370575,3,350,0,347
Perambalur,11.2333,78.8833,106,1581,19,1456
Pauri Garhwal,29.8498142,78.4655144,560,1187,10,617
Patna,25.61,85.1414,1817,24374,188,22369
Patiala,30.34,76.4,1977,9212,253,6982
Pathankot,32.2689,75.6497,863,2470,39,1568
Pathanamthitta,9.266,76.783,1116,4948,3,3829
Patan,23.83,72.12,160,1392,39,1193
Paschim Medinipur,22.3572007,86.6670208,1497,7470,83,5890
Paschim Bardhaman,23.474469,87.301537,966,5559,46,4547
Parbhani,19.2667,76.7833,1389,4306,128,2789
Papum Pare,27.15,93.72,707,2450,4,1739
Panna,24.7138071,80.1652352,76,382,1,305
Panipat,29.3833,76.9667,1503,5991,59,4429
Panchmahal,22.6960462,73.3612066,339,1911,17,1555
Panchkula,30.7024862,76.7922108,1371,4386,51,2964
Palwal,28.1431,77.3269,214,2033,14,1805
Pali,25.7773131,73.2909371,226,4674,49,4399
Palghar,19.7,72.77,5922,31682,729,25031
Palamu,23.8281341,85.9324153,95,2084,8,1981
Palakkad,10.7881651,76.6188877,1560,6619,12,5047
Pakur,24.63,87.85,71,589,1,517
Pakke Kessang,27.1458523,93.2375062,4,32,0,28
Osmanabad,18.1667,76.05,2610,9212,244,6358
Nuh,28.1028,77.0014,136,987,18,833
Nuapada,20.8167,82.5333,877,1701,0,824
North Tripura,24.0882607,91.924692,611,1695,9,1075
North Garo Hills,25.8962871,90.3182193,13,32,0,19
North 24 Parganas,22.6823617,88.1551152,4400,42669,914,37355
Niwari,25.3606339,78.7892353,42,254,1,211
Nilgiris,11.4483606,76.3438651,577,2528,17,1934
Neemuch,24.4678456,74.837107,383,1585,27,1175
Nayagarh,20.13,85.1,466,3878,19,3393
Nawada,24.88,85.53,235,2473,16,2222
Navsari,20.9506,72.9231,120,1061,6,935
Nashik,20,73.7833,12048,57037,1071,43918
Narsinghpur,22.9463295,79.1829614,514,1344,7,823
Narmada,21.7382443,73.3624263,106,788,0,682
Narayanpur,19.7195562,81.2384425,180,833,0,653
