State,State Code,2020-01-30,2020-02-02,2020-02-03,2020-02-14,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,
Gujarat,GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,10,10,13,21,22,25,25,26,33,44,44,54,59,64,73,86,93,105,131,139,179,258,265,282,313,394,434,527,613,736,896,1042,1195,1381,1500,1709,1872,2091,2545,2780,3246,3562,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412,6636,7137,7547,8001,8609,9230,9919,10780,11894,12212,12667,13011,13324,13643,13964,14373,14743,15109,15501,15891,16333,16672,17090,17438,17827,18167,18702,19357,19917,20521,21096,21506,22038,22417,22808,23248,23670,24038,24601,24941,25414,25900,26323,26744,27313,27742,28183,28685,29198,29806,30555,31346,32174,32944,34005,34882,35659,36403,37240,37958,38830,39612,40365,41380,42412,43195,44074,44907,45782,46587,47561,48459,49505,50422,51792,52927,54238,55376,56516,57493,58539,59622,60637,61596,62679,63810,64930,66053,67377,68357,69329,70350,71361,72408,73601,74651,75762,76857,77882,79013,80154,81280,82498,83646,84858,86134,87579,88915,90330,91570,92905,92905,
Himachal Pradesh,HP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,8,12,12,13,13,16,16,16,16,16,16,16,18,18,22,22,25,25,25,28,30,33,34,34,34,34,34,34,35,35,35,35,35,35,35,39,40,42,47,50,55,55,57,59,63,63,66,73,83,107,116,118,136,146,175,185,190,218,223,237,250,276,293,309,326,342,361,368,373,385,405,417,429,432,466,474,494,501,518,556,575,617,632,671,696,724,750,777,820,833,872,895,916,927,938,966,971,1011,1030,1059,1067,1077,1105,1136,1145,1173,1198,1216,1234,1332,1387,1459,1502,1559,1658,1710,1762,1865,1954,2081,2181,2205,2273,2362,2435,2551,2632,2720,2834,2923,2992,3085,3234,3341,3461,3584,3748,3810,4008,4149,4266,4408,4473,4646,4715,4813,4920,4941,5138,5359,5444,5586,5666,5824,5947,5947,
Haryana,HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,24,27,27,28,29,29,29,31,32,32,36,36,44,51,55,57,65,86,100,104,141,147,158,170,186,191,199,213,224,225,235,241,242,245,254,256,260,260,279,290,300,337,342,418,439,464,514,562,598,627,648,681,706,750,765,802,824,838,881,940,971,1048,1055,1069,1089,1123,1209,1280,1474,1700,1807,2188,2261,2475,2803,3003,3565,3748,3952,4556,4889,5128,5557,5916,6498,6925,7380,8016,8472,8917,9502,9972,10499,11019,11691,12257,12944,13335,13645,14106,14505,14904,15394,15983,16637,17090,17667,18185,18718,19318,19793,20226,20952,21697,22249,22953,23654,24384,25046,25758,26420,27340,28227,29080,29690,30470,31226,31960,32640,33444,34031,34781,35492,36082,36694,37486,38348,38939,39601,40610,41298,42056,42793,43413,44013,44822,45405,46496,47613,48690,49710,50711,51620,52672,53835,54875,55889,57171,58580,60051,61611,63315,65143,66705,68525,70713,70713,
Jharkhand,JH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,8,8,13,17,19,19,19,21,22,27,27,33,37,41,41,78,78,78,79,87,87,97,113,113,127,127,129,136,136,141,148,148,153,153,153,216,256,256,296,296,297,366,435,473,490,519,559,592,630,685,816,905,1000,1121,1151,1198,1335,1404,1406,1469,1520,1575,1605,1647,1724,1793,1849,1884,1931,1988,2001,2035,2045,2068,2104,2170,2210,2224,2256,2308,2351,2428,2485,2513,2577,2656,2718,2835,2942,3048,3254,3354,3521,3704,3805,3984,4061,4176,4343,4513,4682,4794,5199,5826,6594,7491,8325,8998,9748,10555,12197,13013,13678,14181,14747,15348,15709,16566,17320,18372,19186,20136,21025,21750,22486,23119,24138,25216,26448,27143,28149,29747,30886,32043,34330,36184,37550,39362,40659,42115,43328,45074,45074,
Jammu and Kashmir,JK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,4,6,6,6,6,6,16,30,36,38,42,51,56,71,81,92,92,109,112,137,164,176,192,216,247,254,287,303,320,322,335,364,368,383,427,455,466,485,513,542,575,609,647,678,684,720,774,809,809,833,854,859,875,908,927,946,953,1007,1048,1086,1126,1216,1324,1506,1671,1820,2086,2269,2389,2604,2781,2914,3144,3194,3336,3382,3531,3642,3818,3967,4080,4225,4316,4585,4722,4856,4974,5075,5143,5255,5318,5399,5567,5695,5786,5895,5979,6095,6223,6337,6446,6558,7165,7811,8274,8455,8607,8709,9217,9517,9928,10402,10885,11322,11842,12217,12871,13127,14032,14856,15244,15708,16218,16667,17003,17375,17979,18523,19302,19942,20676,20943,21296,21886,22497,23225,23805,24398,24832,25205,25594,26193,26721,27372,28020,28510,29015,29484,30079,30759,31435,31924,32327,32760,33251,33871,34215,34689,35285,35285,
Karnataka,KA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,5,5,6,8,9,11,11,11,12,20,25,28,30,34,39,54,60,71,80,82,88,104,111,112,129,131,145,152,158,182,193,207,216,229,251,271,293,321,331,354,366,376,386,422,426,433,451,460,480,496,509,530,543,556,571,597,608,654,705,764,781,834,894,997,1218,1318,1393,1504,1610,1693,1973,2132,2441,2605,2862,2976,3440,3648,3960,4134,4456,4804,4980,5210,5393,5619,5730,6004,6153,6672,6918,7289,7509,7685,7920,8065,8336,8807,9246,9849,10529,11100,11878,12835,13838,14718,15411,16249,17390,18466,19729,20757,21775,23065,23795,25459,27239,29310,31347,33750,35838,37685,40504,42901,46694,49788,53648,57725,62500,69272,74679,80281,84232,89238,93908,99126,105599,112633,121242,128182,134811,141491,148562,156949,164150,170381,176942,184568,189564,197625,204439,211688,219554,227018,235128,242229,249467,254626,260913,268035,274196,283298,292873,300770,308573,315433,322454,334999,344556,344556,
Kerala,KL,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,24,26,28,42,50,56,59,71,84,97,124,143,179,198,211,218,245,255,257,270,291,307,308,316,331,338,342,355,359,369,383,392,400,401,462,462,469,474,484,485,489,489,489,490,493,493,497,497,497,497,502,510,512,515,520,532,542,552,555,565,575,590,608,627,651,690,712,762,803,814,848,905,967,999,1045,1101,1174,1234,1324,1413,1509,1566,1659,1747,1807,1888,1941,2006,2108,2150,2229,2304,2436,2638,2839,3048,3174,3341,3452,3559,3708,3820,3963,4095,4257,4438,4634,4862,4995,5199,5371,5616,5890,6162,6594,7562,8611,9300,10045,10724,11365,12159,13023,13775,14463,15278,16299,17533,18333,19147,20862,21832,22616,24042,24922,25688,26992,27795,28894,30025,31390,32607,33824,35243,36535,37645,38883,40339,41690,43757,45854,48079,49845,51538,53649,55778,57728,60444,62555,64751,66997,68859,70917,72574,73900,75844,75844,
Ladakh,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,10,10,10,10,11,11,11,12,12,12,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,21,22,22,22,22,24,24,24,43,43,43,43,43,43,43,43,43,43,43,43,43,47,47,47,48,48,48,50,50,50,50,50,54,58,68,80,82,85,92,95,95,117,134,136,148,274,358,467,554,586,616,648,694,729,776,826,826,836,860,888,915,917,928,928,946,946,964,970,973,985,1003,1007,1010,1018,1025,1035,1057,1063,1066,1067,1080,1094,1095,1108,1108,1109,1127,1164,1177,1194,1214,1222,1237,1255,1274,1282,1303,1307,1356,1368,1395,1397,1436,1449,1469,1491,1517,1549,1580,1640,1714,1745,1757,1874,1978,2007,2039,2085,2127,2151,2211,2288,2329,2366,2387,2414,2414,
Maharashtra,MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,39,39,39,42,50,52,56,70,79,117,125,188,208,217,229,259,295,300,331,365,507,572,722,789,840,957,1076,1188,1282,1388,1593,1773,1879,2000,2115,2465,2819,3094,3301,3470,3800,4199,4786,5125,5547,6089,6564,7088,7688,8437,9639,10318,11726,12583,13404,14600,15786,16954,17918,18616,26997,28081,29329,30108,31333,32329,33681,35147,37390,39314,40975,42639,44516,46078,47796,49346,50978,56049,57851,59166,60838,62773,64153,65744,67706,69631,73792,77453,79815,84245,86575,88960,90911,93154,101172,104687,108082,111740,115262,118558,123192,127259,132625,136985,140325,144507,149007,152613,158140,160357,165663,169569,175029,182217,187769,194253,199967,207194,213238,221944,232277,239755,248615,256158,266883,276809,287030,299356,305521,316375,327281,338362,351710,358421,368435,381843,390958,401442,408286,417123,428514,437870,446881,459124,470873,480114,488271,502490,514790,522427,531563,543170,554711,562401,573559,584537,598496,612484,625773,636574,644400,659322,672556,686462,700715,715023,728512,728512,
Meghalaya,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,18,22,23,26,26,28,31,32,32,32,37,37,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,45,45,45,45,45,46,46,46,49,49,49,49,52,70,77,82,87,94,135,186,194,207,210,215,252,264,264,330,339,345,411,423,490,498,510,517,547,581,596,675,679,685,725,730,749,769,776,789,832,874,899,958,1035,1049,1162,1235,1318,1393,1468,1527,1556,1560,1716,1823,1842,1889,2020,2020,
Manipur,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,6,11,11,14,38,38,38,52,52,58,64,64,73,73,73,91,151,159,192,199,218,232,250,250,258,328,354,393,432,455,494,553,579,616,639,667,689,734,771,793,799,832,843,896,970,1020,1080,1129,1163,1182,1235,1320,1384,1418,1460,1491,1520,1521,1559,1615,1653,1672,1689,1699,1737,1766,1814,1862,1905,1926,1927,2044,2122,2155,2231,2295,2360,2438,2632,2734,2789,2885,3002,3261,3455,3616,3713,3812,3829,3957,4057,4186,4239,4330,4450,4607,4774,4899,4975,5164,5358,5484,5548,5793,6002,6102,6102,
Madhya Pradesh,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,21,25,25,37,38,41,51,64,64,70,70,127,131,138,148,152,203,210,281,302,357,373,461,482,524,624,798,856,1000,1099,1231,1349,1480,1676,1747,1860,2004,2171,2283,2315,2403,2435,2631,2734,2844,3089,3267,3408,3571,3689,3927,4050,4269,4444,4842,5003,5221,5445,5637,5878,6108,6331,6536,6729,6892,7042,7201,7377,7677,7903,8152,8388,8632,8748,8880,9015,9215,9335,9473,9619,9804,9971,10084,10199,10395,10655,10815,11049,11234,11411,11579,11768,11987,12232,12481,12679,12876,13208,13575,13908,14127,14514,14864,15311,15684,16257,16836,17359,17866,18488,19132,19791,20343,20934,21657,22271,22969,23550,24099,25414,26064,26902,27621,28353,29020,29674,30596,31239,31835,32405,33353,34038,35025,35713,36475,37540,38527,39399,40390,41231,42310,43246,44453,45396,46413,47467,48657,49992,51124,52215,53257,54649,55887,56909,58509,59850,61285,62936,64398,64398,
