,District,Confirmed_Cases,Recovered_Cases,Death_Toll,Active_Cases
370,Kolasib,209,175,0,34
371,Lawngtlai,34,29,0,5
372,Lunglei,129,118,0,11
373,Mamit,34,23,0,11
374,Saiha,31,27,0,4
375,Saitual,11,4,0,7
376,Serchhip,24,13,0,11
377,Dimapur,2572,1767,9,796
378,Kiphire,16,14,0,2
379,Kohima,1608,1171,0,437
380,Longleng,7,6,0,1
381,Mokokchung,40,25,0,15
382,Mon,328,299,1,28
383,Peren,350,347,0,3
384,Phek,34,33,0,1
385,Tuensang,74,70,0,4
386,Wokha,35,34,0,1
387,Zunheboto,119,115,0,4
388,Angul,2049,1221,4,824
389,Balangir,3105,2124,12,969
390,Balasore,5460,4336,20,1104
391,Bargarh,4575,3388,9,1178
392,Bhadrak,4083,3312,14,757
393,Boudh,1142,797,1,344
394,Cuttack,13739,10429,58,3252
395,Deogarh,422,306,0,116
396,Dhenkanal,2687,2220,2,465
397,Gajapati,3175,3016,19,140
398,Ganjam,19301,18783,223,295
399,Jagatsinghpur,3188,2264,6,918
400,Jajpur,6006,4693,8,1305
401,Jharsuguda,2694,1993,1,700
402,Kalahandi,2149,1566,5,578
403,Kandhamal,3017,2567,17,433
404,Kendrapara,3309,2238,4,1067
405,Kendujhar,2984,2499,10,475
406,Khordha,27271,20913,104,6254
407,Koraput,4953,4212,7,734
408,Malkangiri,2843,2580,11,252
409,Mayurbhanj,5888,4869,14,1005
410,Nabarangapur,2316,1491,4,821
411,Nayagarh,3878,3393,19,466
412,Nuapada,1701,824,0,877
413,Puri,6843,4789,28,2026
414,Rayagada,6301,5626,34,641
415,Sambalpur,4244,3321,17,906
416,State Pool,1599,0,0,1599
417,Subarnapur,1916,1073,5,838
418,Sundargarh,5812,4895,42,875
419,Amritsar,6969,5067,269,1633
420,Barnala,1496,1072,32,392
421,Bathinda,4201,2718,75,1408
422,Faridkot,2054,1297,33,724
423,Fatehgarh Sahib,1506,1186,60,260
424,Fazilka,1518,1086,23,409
